"PLT_CN","SHORT","PLOT","SUBP","INVYR","TREE","SPCD","DIA","HT","TPA_UNADJ","agb_gm2","topSICOND","topSTDAGE","gesp","H_assigned","b1","b2","b3","b4","b5","calc_age","calcAgeCut","ageBin","ageBinAdj"
"52882700010538","0023200105030901701013",1013,2,2001,1,375,9.1,53,6.018046,337.116754450746,41,96,"BEPA",53,1.7902,0.9522,-0.0173,1.1668,-0.1206,99,"(75,100]",100,100
"52882700010538","0023200105030901701013",1013,2,2001,2,375,8.3,52,6.018046,263.905994553081,41,96,"BEPA",52,1.7902,0.9522,-0.0173,1.1668,-0.1206,93,"(75,100]",100,100
"52882700010538","0023200105030901701013",1013,2,2001,3,318,5.3,33,6.018046,79.7466534182046,41,96,"ACSA",33,3.3721,0.8407,-0.015,2.6208,-0.2661,37,"(25,50]",50,50
"52882700010538","0023200105030901701013",1013,2,2001,5,318,5,37,6.018046,60.7836751042808,41,96,"ACSA",37,3.3721,0.8407,-0.015,2.6208,-0.2661,43,"(25,50]",50,50
"52882700010538","0023200105030901701013",1013,2,2001,10,318,17,66,6.018046,1784.94753755096,41,96,"ACSA",66,3.3721,0.8407,-0.015,2.6208,-0.2661,131,"(125,175]",175,175
"52882700010538","0023200105030901701013",1013,2,2001,11,375,13.1,58,6.018046,807.875466796317,41,96,"BEPA",58,1.7902,0.9522,-0.0173,1.1668,-0.1206,150,"(125,175]",175,145
"52882700010538","0023200105030901701013",1013,3,2001,1,12,4.2,NA,74.965282,291.548957970386,41,96,"ABBA",4,2.077,0.9303,-0.0285,2.8937,-0.1414,8,"(0,10]",10,10
"52882700010538","0023200105030901701013",1013,3,2001,3,316,12.4,56,6.018046,702.107424164736,41,96,"ACRU",56,2.9435,0.9132,-0.0141,1.658,-0.1095,78,"(75,100]",100,100
"52882700010538","0023200105030901701013",1013,3,2001,4,316,10.1,43,6.018046,436.793999416632,41,96,"ACRU",43,2.9435,0.9132,-0.0141,1.658,-0.1095,53,"(50,75]",75,75
"52882700010538","0023200105030901701013",1013,3,2001,6,97,9.7,54,6.018046,249.241770511738,41,96,"PIRU",54,1.3307,1.0442,-0.0496,3.5829,0.0945,68,"(50,75]",75,75
"52882700010538","0023200105030901701013",1013,3,2001,7,12,7.7,51,6.018046,121.250311704932,41,96,"ABBA",51,2.077,0.9303,-0.0285,2.8937,-0.1414,70,"(50,75]",75,75
"52882700010538","0023200105030901701013",1013,3,2001,8,12,6.6,33,6.018046,81.5623297419956,41,96,"ABBA",33,2.077,0.9303,-0.0285,2.8937,-0.1414,39,"(25,50]",50,50
"52882700010538","0023200105030901701013",1013,3,2001,9,12,8.9,34,6.018046,183.653900227965,41,96,"ABBA",34,2.077,0.9303,-0.0285,2.8937,-0.1414,40,"(25,50]",50,50
"52882700010538","0023200105030901701013",1013,3,2001,10,12,7.7,29,6.018046,123.849586020436,41,96,"ABBA",29,2.077,0.9303,-0.0285,2.8937,-0.1414,34,"(25,50]",50,50
"52882700010538","0023200105030901701013",1013,3,2001,11,12,7.7,51,6.018046,126.391910881917,41,96,"ABBA",51,2.077,0.9303,-0.0285,2.8937,-0.1414,70,"(50,75]",75,75
"52882700010538","0023200105030901701013",1013,3,2001,12,371,12.6,54,6.018046,811.410452992016,41,96,"BEAL",54,2.2835,0.9794,-0.0054,0.5819,-0.0281,96,"(75,100]",100,100
